survey_long,file,variable,description,sheet,population,definition
Nutrition & Physical Activity Survey,AHSnpa11bf,WGCRSRV,Wholegrain or high fibre crumpets (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGMFSRV,Wholegrain or high fibre English muffins and scones (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGFLSRV,Wholegrain or high fibre flour (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFGRSRV,Refined or lower fibre cereals/grains (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFBRSRV,Refined or lower fibre grain breads (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFGNSRV,Refined or lower fibre grains (excluding oats) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFOASRV,Refined or lower fibre oats (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFBFSRV,Refined or lower fibre breakfast cereal flakes (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFSVSRV,Refined or lower fibre savoury crackers/cripsbreads (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFCRSRV,Refined or lower fibre crumpets (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFMFSRV,Refined or lower fibre English muffins and scones (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFFLSRV,Refined or lower fibre flour (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,VEGSRV,Vegetables and legumes/beans (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,VGGRSRV,Green and brassica vegetables (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,VGORSRV,Orange vegetables (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,STARSRV,Starchy vegetables (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LEGVGSRV,Legumes as a vegetable (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,OTHVGSRV,Other vegetables (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,OWHLVSRV,Whole vegetables (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,OVGJSRV,Vegetable Juice (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FRUITSRV,Fruit (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FRSHFSRV,Fresh/canned fruit (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,DRFRSRV,Dried fruit (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FRJCSRV,Fruit juice (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,DAIRYSRV,"Milk, yoghurt, cheese and/or alternatives (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,HFDASRV,Higher fat dairy foods (>10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,HFCHSSRV,Higher fat cheese (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,HFPOWSRV,Higher fat milk powder only (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFDASRV,Medium fat dairy foods (4-10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFMLKSRV,Medium fat milk (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFEVPSRV,Medium fat evaporated milk (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFCONSRV,Medium fat condensed milk (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFCHHSRV,"Medium fat cheese, hard and soft (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFCHSSRV,"Medium fat cheese, fresh (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFYOGSRV,"Medium fat yoghurt, dairy based (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFALTSRV,"Medium fat milk alternative beverage, calcium enriched (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFSNASRV,Medium fat dairy-based snack foods (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFDASRV,Lower fat dairy foods (<4 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFMLKSRV,Lower fat milk (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFEVPSRV,Lower fat evaporated milk (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFCONSRV,Lower fat condensed milk (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFCHHSRV,"Lower fat cheese, hard and soft (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFCHSSRV,"Lower fat cheese, fresh (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFYOGSRV,"Lower fat yoghurt, dairy based (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFALTSRV,"Lower fat milk alternative beverage, calcium enriched (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFSNASRV,Lower fat dairy-based snack foods (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFPOWSRV,Lower fat milk powder only (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MEATSRV,"Meats, poultry, fish, eggs, tofu, nuts and seeds and legumes/beans (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTLSRV,"Red meat, lean (<10 pc. fat) (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTLUSRV,Red meat unprocessed (<10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTLPSRV,Red meat processed (<10 pc fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTNSRV,"Red meat, non-lean (>=10 pc. fat) (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTNUSRV,Red meat unprocessed (>=10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTNPSRV,Red meat processed (>=10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYLSRV,"Poultry, lean(<10 pc. fat) (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYLUSRV,Poultry unprocessed (<10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYLPSRV,Poultry processed (<10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYNSRV,"Poultry, non-lean (>=10 pc. fat) (serves)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYNUSRV,Poultry unprocessed (>=10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYNPSRV,Poultry processed (>=10 pc. fat) (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FISHSRV,Fish and seafood (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,EGGSSRV,Eggs (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LEGMTSRV,Legumes as meat alternative (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LEGBSRV,Legumes/beans (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,TOFUSRV,Tofu (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,NUTSSRV,Nuts and seeds (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WATRSRV,Water (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,UNSTSRV,Unsaturated spreads and oils (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,UNSTSSRV,Unsaturated spreads (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,UNSTOSRV,Unsaturated oils (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,NUTFTSRV,Nuts (serves),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,GRNGM,Grains and cereals (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGGM,Wholegrain or high fibre cereal/grains (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGBRGM,Wholegrain or high fibre breads (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGGNGM,Wholegrain or high fibre grains (excluding oats) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGOAGM,Wholegrain or high fibre oats (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGBFGM,Wholegrain or high fibre breakfast cereal flakes (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGSVGM,Wholegrain or high fibre savoury crackers/cripsbreads (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGCRGM,Wholegrain or high fibre crumpets (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGMFGM,Wholegrain or high fibre English muffins and scones (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WGFLGM,Wholegrain or high fibre flour (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFGRGM,Refined or lower fibre cereals/grains (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFBRGM,Refined or lower fibre grain breads (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFGNGM,Refined or lower fibre grains (excluding oats) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFOAGM,Refined or lower fibre oats (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFBFGM,Refined or lower fibre breakfast cereal flakes (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFSVGM,Refined or lower fibre savoury crackers/cripsbreads (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFCRGM,Refined or lower fibre crumpets (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFMFGM,Refined or lower fibre English muffins and scones (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RFFLGM,Refined or lower fibre flour (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,VEGGM,Vegetables and legumes/beans (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,VGGRGM,Green and brassica vegetables (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,VGORGM,Orange vegetables (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,STARGM,Starchy vegetables (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LEGVGGM,Legumes as a vegetable (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,OTHVGGM,Other vegetables (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,OWHLVGM,Whole vegetables (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,OVGJGM,Vegetable Juice (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FRUITGM,Fruit (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FRSHFGM,Fresh/canned fruit (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,DRFRGM,Dried fruit (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FRJCGM,Fruit juice (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,DAIRYGM,"Milk, yoghurt, cheese and/or alternatives (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,HFDAGM,Higher fat dairy foods (>10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,HFCHSGM,Higher fat cheese (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,HFPOWGM,Higher fat milk powder only (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFDAGM,Medium fat dairy foods (4-10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFMLKGM,Medium fat milk (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFEVPGM,Medium fat evaporated milk (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFCONGM,Medium fat condensed milk (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFCHHGM,"Medium fat cheese, hard and soft (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFCHSGM,"Medium fat cheese, fresh (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFYOGGM,"Medium fat yoghurt, dairy based (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFALTGM,"Medium fat milk alternative beverage, calcium enriched (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MFSNAGM,Medium fat dairy-based snack foods (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFDAGM,Lower fat dairy foods (<4 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFMLKGM,Lower fat milk (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFEVPGM,Lower fat evaporated milk (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFCONGM,Lower fat condensed milk (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFCHHGM,"Lower fat cheese, hard and soft (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFCHSGM,"Lower fat cheese, fresh (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFYOGGM,"Lower fat yoghurt, dairy based (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFALTGM,"Lower fat milk alternative beverage, calcium enriched (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFSNAGM,Lower fat dairy-based snack foods (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LFPOWGM,Lower fat milk powder only (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,MEATGM,"Meats, poultry, fish, eggs, tofu, nuts and seeds and legumes/beans (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTLGM,"Red meat, lean (<10 pc. fat) (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTLUGM,Red meat unprocessed (<10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTLPGM,Red meat processed (<10 pc fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTNGM,"Red meat, non-lean (>=10 pc. fat) (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTNUGM,Red meat unprocessed (>=10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,RMTNPGM,Red meat processed (>=10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYLGM,"Poultry, lean (<10 pc. fat) (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYLUGM,Poultry unprocessed (<10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYLPGM,Poultry processed (<10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYNGM,"Poultry, non-lean (>=10 pc. fat) (g)",Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYNUGM,Poultry unprocessed (>=10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,PLYNPGM,Poultry processed (>=10 pc. fat) (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,FISHGM,Fish and seafood (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,EGGSGM,Eggs (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LEGMTGM,Legumes as meat alternative (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,LEGBGM,Legumes/beans (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,TOFUGM,Tofu (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,NUTSGM,Nuts and seeds (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,WATRGM,Water (g),Food level,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bf,UNSTGM,Unsaturated spreads and oils (g),Food level,All persons,X
